comment_id,author,text,published_at,cleaned_comment,sentiment,sentiment_category,tokens,topic
UgyS-DOMS-3LKnuolzx4AaABAg,@artbybabaom,🔥🔥,2021-11-25T17:07:55Z,,0.0,Neutral,[],0
Ugzv3AHUctlxEr6k62d4AaABAg,@ianbrawler5778,"Me das 10,000 ya me suscribi",2021-11-25T17:07:54Z,me das 10 000 ya me suscribi,0.0,Neutral,"['das', 'ya', 'suscribi']",2
Ugxd3HKb1XhAvTxVpIN4AaABAg,@dreidrei8258,"Oh My God,Mr.Beast the only one who make the Squid Game into the Real,really2 Great Work..LOVE IT SO MUCH 😘😘😘",2021-11-25T17:07:53Z,oh my god mr beast the only one who make the squid game into the real really2 great work love it so much,0.21666666666666667,Positive,"['oh', 'god', 'mr', 'beast', 'one', 'make', 'squid', 'game', 'real', 'great', 'work', 'love', 'much']",4
Ugzf7EfxB5n9koS3oYB4AaABAg,@kurdeberlin6694,Why was there brawl stars,2021-11-25T17:07:52Z,why was there brawl stars,0.0,Neutral,"['brawl', 'star']",1
UgysflRb4_h4l9gJrpZ4AaABAg,@yt_elims5268,This was awsomeeee u don’t understand how long I was waiting for this upload😅,2021-11-25T17:07:52Z,this was awsomeeee u don t understand how long i was waiting for this upload,-0.05,Negative,"['awsomeeee', 'u', 'understand', 'long', 'wait', 'upload']",0
Ugw54wXe8Xn9zUYMzAZ4AaABAg,@r4flyx698,El juego del calamar de gringos,2021-11-25T17:07:51Z,el juego del calamar de gringos,0.0,Neutral,"['el', 'juego', 'del', 'calamar', 'de', 'gringo']",2
UgyCxpfNNtRpj4P1j9J4AaABAg,@jamiemckay2878,"I can win $10,000!",2021-11-25T17:07:49Z,i can win 10 000,0.8,Positive,['win'],3
UgyeE-IL5VG4sBTxfMN4AaABAg,@mmccourtt,FINALY ITS HERE,2021-11-25T17:07:48Z,finaly its here,0.0,Neutral,['finaly'],0
Ugy_fNxZtQMJIZcjQdV4AaABAg,@thehomiejuansolo9930,067 sooo fine,2021-11-25T17:07:48Z,067 sooo fine,0.4166666666666667,Positive,"['sooo', 'fine']",3
UgyA7Tk0lDxJst5hx6d4AaABAg,@colebrechbill3879,This is crazy,2021-11-25T17:07:47Z,this is crazy,-0.6,Negative,['crazy'],1
UgzsW5WIC0j1GHA9ORx4AaABAg,@ItsZippy_12,In alrrady suscribed,2021-11-25T17:07:47Z,in alrrady suscribed,0.0,Neutral,"['alrrady', 'suscribe']",2
UgyN4T0Q-xhA6WqSxBh4AaABAg,@jamesarango9184,Hey you  said if we subscribe we could win 10 grand what if we have been subscribe to your channel already can I get five grand,2021-11-25T17:07:47Z,hey you said if we subscribe we could win 10 grand what if we have been subscribe to your channel already can i get five grand,0.6,Positive,"['hey', 'say', 'subscribe', 'could', 'win', 'grand', 'subscribe', 'channel', 'already', 'get', 'five', 'grand']",3
Ugwioy82GP5EGB4qtvF4AaABAg,@joaquinromerocastro7256,Pone en español porfa,2021-11-25T17:07:46Z,pone en español porfa,0.0,Neutral,"['pone', 'en', 'español', 'porfa']",2
Ugx1UWHK01RLXWGRPKp4AaABAg,@nikitoegood9531,"if was n the glaas brige i lil be prety scarde
becus if i dont hit the melol i lil fall en the dark en die",2021-11-25T17:07:46Z,if was n the glaas brige i lil be prety scarde becus if i dont hit the melol i lil fall en the dark en die,-0.15,Negative,"['n', 'glaas', 'brige', 'lil', 'prety', 'scarde', 'becus', 'not', 'hit', 'melol', 'lil', 'fall', 'en', 'dark', 'en', 'die']",4
UgwGvjctVKmCdh2IuXJ4AaABAg,@DarkManipulation19,Oh my godd thought I sub but it glitch 😭😭,2021-11-25T17:07:45Z,oh my godd thought i sub but it glitch,0.0,Neutral,"['oh', 'godd', 'think', 'sub', 'glitch']",4
UgyDgZQWrjTiorzkyBV4AaABAg,@babcinski2581,10:02 team 9vs11 🤨,2021-11-25T17:07:44Z,10 02 team 9vs11,0.0,Neutral,['team'],2
UgxQttnbDTkRblXxkah4AaABAg,@annewhite9850,I have subscribe pls can I win your Chanel is the best❤️🙏🎉,2021-11-25T17:07:44Z,i have subscribe pls can i win your chanel is the best,0.9,Positive,"['subscribe', 'pls', 'win', 'chanel', 'good']",3
Ugy1MNLCchEw6Zd0Tch4AaABAg,@elisejeffords8697,What if I’m already subscribed? lololol,2021-11-25T17:07:43Z,what if i m already subscribed lololol,0.0,Neutral,"['already', 'subscribe', 'lololol']",3
UgwNTSqmo-HlOW1T1d54AaABAg,@alejandrosarabia7544,Has uno en LATAM (México) yo juego:(,2021-11-25T17:07:37Z,has uno en latam méxico yo juego,0.0,Neutral,"['uno', 'en', 'latam', 'méxico', 'yo', 'juego']",2
UgzV_2artE2SyZnVb3p4AaABAg,@elchingondevillachua,Mr. Beast might actually be a God?!,2021-11-25T17:07:37Z,mr beast might actually be a god,0.0,Neutral,"['mr', 'beast', 'might', 'actually', 'god']",0
UgyXAQZ2xUCQh_xev7R4AaABAg,@tanakashota585,"This is so sad because they aren't acting
It's real life",2021-11-25T17:07:35Z,this is so sad because they aren t acting it s real life,-0.09999999999999999,Negative,"['sad', 'act', 'real', 'life']",4
UgwXBTM1yCLXaem8MJ94AaABAg,@Clay-bl1qp,I am all ready subscribed and liked,2021-11-25T17:07:35Z,i am all ready subscribed and liked,0.4,Positive,"['ready', 'subscribe', 'like']",3
